Species:Chemical Name:Freq-GHz:Freq Err:Meas Freq-GHz:Meas Freq Err:Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):Linelist
SiC2v=0:Silicon Carbide:234.02478:2.27E-5:::12(2,11)-12(0,12):-4.25210::58.33340:CDMS
SiC2v=0:Silicon Carbide:234.02479:0.000159:::12(2,11)-12(0,12):0.00000::58.33300:SLAIM
SiC2v=0:Silicon Carbide:234.25138:0.000473:::3(2,1)-2(0,2):0.00000::2.35700:SLAIM
SiC2v=0:Silicon Carbide:234.25140:5.06E-5:::3(2,1)-2(0,2):-5.67160::2.35710:CDMS
SiC2v=0:Silicon Carbide:234.53397:5.6E-5:234.53401:1.8E-5:10(8,3)-9(8,2):0.00000::121.76800:SLAIM
SiC2v=0:Silicon Carbide:234.53397:5.6E-5:234.53401:1.8E-5:10(8,2)-9(8,1):0.00000::121.76800:SLAIM
SiC2v=0:Silicon Carbide:::234.53401:9.0E-6:10(8,2)-9(8,1):-2.86530::121.73520:JPL
SiC2v=0:Silicon Carbide:::234.53401:9.0E-6:10(8,3)-9(8,2):-2.86530::121.73520:JPL
SiC2v=0:Silicon Carbide:::234.53401:1.2E-5:10(8,2)-9(8,1):-3.10120::122.15560:CDMS
SiC2v=0:Silicon Carbide:::234.53401:1.2E-5:10(8,3)-9(8,2):-3.10120::122.15560:CDMS
SiC2v=0:Silicon Carbide:235.71300:7.5E-6:::10(6,5)-9(6,4):-2.76790::84.20910:CDMS
SiC2v=0:Silicon Carbide:235.71305:4.2E-5:::10(6,5)-9(6,4):0.00000::84.14600:SLAIM
SiC2v=0:Silicon Carbide:235.71305:4.2E-6:::10(6,5)-9(6,4):-2.53280::84.14120:JPL
SiC2v=0:Silicon Carbide:235.71307:7.5E-6:::10(6,4)-9(6,3):-2.76790::84.20910:CDMS
SiC2v=0:Silicon Carbide:235.71312:4.2E-5:::10(6,4)-9(6,3):0.00000::84.14600:SLAIM
SiC2v=0:Silicon Carbide:235.71312:4.2E-6:::10(6,4)-9(6,3):-2.53280::84.14120:JPL
SiC2v=0:Silicon Carbide:237.15002:6.0E-6:::10(4,7)-9(4,6):-2.58830::57.19170:CDMS
SiC2v=0:Silicon Carbide:237.15005:3.9E-6:::10(4,7)-9(4,6):-2.35340::57.18730:JPL
SiC2v=0:Silicon Carbide:237.15005:3.0E-5:::10(4,7)-9(4,6):0.00000::57.18800:SLAIM
SiC2v=0:Silicon Carbide:237.33131:6.0E-6:::10(4,6)-9(4,5):-2.58770::57.19630:CDMS
SiC2v=0:Silicon Carbide:237.33135:3.6E-6:::10(4,6)-9(4,5):-2.35270::57.19190:JPL
SiC2v=0:Silicon Carbide:237.33135:2.9E-5:::10(4,6)-9(4,5):0.00000::57.19200:SLAIM
SiC2v=0:Silicon Carbide:241.26664:0.0085834:::22(6,17)-23(4,20):-5.59680::240.59830:CDMS
SiC2v=0:Silicon Carbide:241.36771:8.0E-6:::11(0,11)-10(0,10):-2.42790::41.54320:CDMS
SiC2v=0:Silicon Carbide:241.36772:5.1E-5:::11(0,11)-10(0,10):0.00000::41.54300:SLAIM
SiC2v=0:Silicon Carbide:241.36772:6.9E-6:::11(0,11)-10(0,10):-2.19300::41.54320:JPL
SiC2v=0:Silicon Carbide:242.00777:0.0020184:::24(4,21)-25(2,24):-5.82660::251.48760:CDMS
SiC2v=0:Silicon Carbide:246.12510:0.0017344:::10(4,7)-11(2,10):-5.85700::56.89230:CDMS
SiC2v=0:Silicon Carbide:246.22691:0.0017248:::8(4,4)-9(2,7):-6.07660::41.86830:CDMS
SiC2v=0:Silicon Carbide:246.51546:0.0002639:::20(2,18)-21(0,21):-6.07400::168.13670:CDMS
SiC2v=0:Silicon Carbide:246.69090:0.0010732:::27(4,23)-27(4,24):-4.18430::320.88580:CDMS
SiC2v=0:Silicon Carbide:247.52911:4.8E-5:::10(2,8)-9(2,7):0.00000::41.86800:SLAIM
SiC2v=0:Silicon Carbide:247.52911:6.7E-6:::10(2,8)-9(2,7):-2.22600::41.86830:JPL
SiC2v=0:Silicon Carbide:247.52912:8.8E-6:::10(2,8)-9(2,7):-2.46090::41.86830:CDMS
