Species:Chemical Name:Freq-GHz:Freq Err:Meas Freq-GHz:Meas Freq Err:Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):Linelist
CH3CNv=0:Methyl Cyanide:202.29318:2.0E-7:::11(4)-10(4):-2.50640::113.18490:JPL
CH3CNv=0:Methyl Cyanide:202.29318:2.0E-6:::11(4)-10(4):0.00000::113.18500:SLAIM
CH3CNv=0:Methyl Cyanide:202.29323:3.0E-6:::11(4)-10(4),F=10-9:0.00000::113.18500:SLAIM
CH3CNv=0:Methyl Cyanide:202.29323:3.0E-6:::11(4)-10(4),F=12-11:0.00000::113.18500:SLAIM
CH3CNv=0:Methyl Cyanide:202.32044:2.0E-7:::11(3)-10(3):-2.10490::78.43860:JPL
CH3CNv=0:Methyl Cyanide:202.32044:1.0E-6:::11(3)-10(3):0.00000::78.43900:SLAIM
CH3CNv=0:Methyl Cyanide:202.33992:2.0E-6:::11(2)-10(2):0.00000::53.61400:SLAIM
CH3CNv=0:Methyl Cyanide:202.33992:2.0E-7:::11(2)-10(2):-2.33520::53.61410:JPL
CH3CNv=0:Methyl Cyanide:202.35161:2.0E-6:::11(1)-10(1):0.00000::38.71700:SLAIM
CH3CNv=0:Methyl Cyanide:202.35161:2.0E-7:::11(1)-10(1):-2.29310::38.71710:JPL
CH3CNv=0:Methyl Cyanide:202.35551:2.0E-6:::11(0)-10(0):0.00000::33.75100:SLAIM
CH3CNv=0:Methyl Cyanide:202.35551:2.0E-7:::11(0)-10(0):-2.27910::33.75110:JPL
CH3CNv=0:Methyl Cyanide:220.53915:3.0E-6:::12(7)-11(7),F=12-11:0.00000::283.60800:SLAIM
CH3CNv=0:Methyl Cyanide:220.53932:2.0E-7:::12(7)-11(7):-2.86830::283.60850:JPL
CH3CNv=0:Methyl Cyanide:220.53933:4.0E-6:::12(7)-11(7):0.00000::283.60800:SLAIM
CH3CNv=0:Methyl Cyanide:220.53941:3.0E-6:::12(7)-11(7),F=13-12:0.00000::283.60800:SLAIM
CH3CNv=0:Methyl Cyanide:220.53943:4.0E-6:::12(7)-11(7),F=11-10:0.00000::283.60800:SLAIM
CH3CNv=0:Methyl Cyanide:220.59430:3.0E-6:::12(6)-11(6),F=12-11:0.00000::219.15400:SLAIM
CH3CNv=0:Methyl Cyanide:220.59442:2.0E-7:::12(6)-11(6):-2.37710::219.15461:JPL
CH3CNv=0:Methyl Cyanide:220.59443:3.0E-6:::12(6)-11(6):0.00000::219.15400:SLAIM
CH3CNv=0:Methyl Cyanide:220.59449:3.0E-6:::12(6)-11(6),F=13-12:0.00000::219.15400:SLAIM
CH3CNv=0:Methyl Cyanide:220.59450:3.0E-6:::12(6)-11(6),F=11-10:0.00000::219.15400:SLAIM
CH3CNv=0:Methyl Cyanide:220.64108:2.0E-7:::12(5)-11(5):-2.52220::164.59190:JPL
CH3CNv=0:Methyl Cyanide:220.64109:2.0E-6:::12(5)-11(5):0.00000::164.59200:SLAIM
CH3CNv=0:Methyl Cyanide:220.67929:2.0E-7:::12(4)-11(4):-2.39730::119.93270:JPL
CH3CNv=0:Methyl Cyanide:220.67929:2.0E-6:::12(4)-11(4):0.00000::119.93300:SLAIM
CH3CNv=0:Methyl Cyanide:220.70902:2.0E-7:::12(3)-11(3):-2.00070::85.18731:JPL
CH3CNv=0:Methyl Cyanide:220.70902:2.0E-6:::12(3)-11(3):0.00000::85.18700:SLAIM
CH3CNv=0:Methyl Cyanide:220.73026:2.0E-6:::12(2)-11(2):0.00000::60.36300:SLAIM
CH3CNv=0:Methyl Cyanide:220.73026:2.0E-7:::12(2)-11(2):-2.23410::60.36340:JPL
